NO,,คำถาม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,คำตอบ,,,,,,,,,,,,,,การตอบกลับของลูกค้า,
72,,ลูกค้าโทรมาแจ้งว่าต้องการเข้าสัมนาและก็ตอนนี้ ทำรายการในระบบในการไม่สำเร็จเพราะว่าใส่รายชื่อที่เข้าร่วมสัมนายังไม่ครบและระบบมันไม่ให้ใส่ข้อมูล  ซึ่งระบบบอกว่าต้องใช้ Email ในการลงข้อมูลค่ะ  แจ้งว่าจะแจ้งให้เจ้าหน้าที่ที่เกี่ยวข้องติดต่อกลับค่ะ   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,ลูกค้าโทรมาบอกว่าตอนนี้ผมได้เข้ามากรอกรายละเอียดเพิ่มเติมแต่ระบบ แจ้งว่า   พบข้อผิดพลาดในการกรอกข้อมูล    ชื่อผู้ใช้ได้รับการลงทะเบียนแล้ว  ก็เลยอยากทราบว่าระบบได้ทำการลงทะเบียนแล้วหรือยัง  ลูกค้าต้องการให้ตรวจสอบแล้วแจ้งกลับให้ทราบด้วย   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,ลูกค้าโทรมาบอกว่าเมื่อสักครู่ได้ลงรายละเอียดสินค้าลูกหยีปลายด้ามขวาน  อยู่ระหว่างลงรายละเอียดข้อมูลสินค้าแต่ยังลงไม่เสร็จ และออกจากระบบมา แล้วลูกค้าเข้าไปใหม่ไม่ได้ระบบบอกว่าลูกค้าได้ลงทะเบียนแล้วเรียบร้อย   ต้องการสอบถามว่าจะเข้าไปลงรายละเอียดต่ออย่างไร ลูกค้าเข้าไปไม่ได้ค่ะ  ลูกค้าต้องการให้ติดต่อกลับค่ะ    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,ลูกค้าโทรมาสอบถามเรื่องของการสัมนาในวันพรุ่งนี้ว่าจะต้องไปที่ตลาดหลักทรัพย์   อยากทราบว่าผ่านไม่ผ่านหรือไปที่    Email   Setcod@ksc.th.com   ลูกค้าต้องการให้ติดต่อกลับ     Email   Setcod@ksc.th.com      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,ลูกค้าสนใจจะนำเสนอสินค้า ลิปสติกแบบซอง เข้ามาจำหน่ายในเซเว่น แต่ลูกค้ายังไม่ได้กรอกข้อมูลในเว็บ ลูกค้าต้องการทราบข้อกำหนดของเซเว่นก่อน ว่ามีกำหนดไหมว่า สินค้าประเภทนี้ต้องมีขนาดของตัวสินค้าและบรรจุภัณฑ์เท่าไร เพื่อที่ลูกค้าจะได้ไปทำ ม็อคอัพ ตัวสินค้าเข้าไปนำเสนออีกทีค่ะ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,ลูกค้าสอบถามเรื่องการสัมมนา SME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,ลูกค้าสอบถามว่าทาง 7-1 ยังเปิดรับจำหน่ายพวกหนังสือ นวนิยายหรือไม่ และมีการหักเปอร์เซ็นต์อย่างไร ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ให้ลูกค้านำเสนอสินค้าเข้ามาก่อนค่ะ รายละเอียดอย่างอื่นนั้นจะอยู่ในขั้นตอนต่อไป ,,,,,,,,,,,,,,,
79,,สอบถามการนำเสนออาหารเด็ก,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,สอบถามการลงทะเบียนนำเสนอสินค้า ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำให้ลงทะเบียนเรียบร้อย,,,,,,,,,,,,,,,
81,,สอบถามการเสนอสินค้า  ต้องการสอบถาม ว่า ต้องรอกี่วัน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แจ้ง 30 วันทำการ ,,,,,,,,,,,,,,,
82,,สอบถามข้อมูลการทำธุรกิจ SME ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แจ้งข้อมูลให้ทราบเรียบร้อยค่ะ ,,,,,,,,,,,,,,,
83,,สอบถามเรื่องการเข้าร่วมงานสัมนาครับ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แจ้งลูกค้าลงทะเบียนเรียบร้อย 200 ที่นั่ง ,,,,,,,,,,,,,,,
84,,สอบถามเรื่องการตั้งราคาปลีก ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แจ้งเรียบร้อย ไม่สามารถเว้นช่องว่าง ,,,,,,,,,,,,,,,
85,,สอใบถามการนำเสนอสินค้า  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำให้ลงทะเบียน ก่อน ,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
